Ticket ID,Customer ID,Customer Name,Email Address,Phone Number,Support Issue Category,Issue Description,Ticket Priority,Ticket Status,Support Representative,Resolution Description,Resolution Date,Ticket Created Date,Ticket Closed Date,Customer Satisfaction Rating,Follow-up Status,Customer Location,Product ID (Linked to Issue),Communication Channel,Escalation Level,Resolution Time,Assigned Team
7WLEZIR1,M4XN8OC5,Customer_YWDF1,U6R5W@example.com,+1-9011086965,Inquiry,Issue description for order T8X76M4YCR,Low,In Progress,Representative_JO522,Resolution for order T8X76M4YCR,2023-12-20,2023-12-10,2023-12-30,2,Pending,Location_WU57G,S9SAJJ31,Email,Level 3,1,Team_0BC
X1OO5M58,1IP244CE,Customer_B7LG3,RFI7S@example.com,+1-4096276923,Feedback,Issue description for order VFSHP0S8K1,High,Open,Representative_LLNRG,Resolution for order VFSHP0S8K1,2023-12-15,2023-12-01,2023-12-30,3,Pending,Location_AZ96K,M3576H4S,Email,Level 2,10,Team_12X
8MGMIZCD,SD4T8YEM,Customer_JTACD,8GQLU@example.com,+1-2202523694,Refund,Issue description for order DOXSLOOJJZ,High,Open,Representative_GPCM1,Resolution for order DOXSLOOJJZ,2023-12-20,2023-12-20,2023-12-25,2,Pending,Location_IU66E,KT91JFS3,Chat,Level 1,6,Team_LKI
UXIOEPAA,JXXG8VT8,Customer_OK8R5,U80HV@example.com,+1-8552700358,Inquiry,Issue description for order A816W0ZCXO,Medium,In Progress,Representative_OB4PR,Resolution for order A816W0ZCXO,2023-12-15,2023-12-20,2023-12-30,5,Completed,Location_FERFR,G1B5KUNH,Phone,Level 1,5,Team_GQ9
3WRDZP7K,XVP28OY1,Customer_S3JUC,ZMS89@example.com,+1-2876585235,Complaint,Issue description for order A3KE8IK19X,Low,Closed,Representative_EZLVD,Resolution for order A3KE8IK19X,2023-12-15,2023-12-01,2023-12-25,2,Pending,Location_U3889,E395OPVL,Email,Level 3,1,Team_7IS
ETRHAED3,0B3AY331,Customer_QYD8B,OH9RX@example.com,+1-4337182366,Refund,Issue description for order J84YQGPNYA,High,In Progress,Representative_PCV8R,Resolution for order J84YQGPNYA,2023-12-15,2023-12-01,2023-12-30,1,Completed,Location_NUCF7,YSA30CRY,Phone,Level 3,9,Team_YER
LNYH3QTC,RN1MKI1P,Customer_T1AXI,VMNXH@example.com,+1-9497291208,Feedback,Issue description for order KJK6H72BBL,Medium,In Progress,Representative_6Q7HI,Resolution for order KJK6H72BBL,2023-12-10,2023-12-20,2023-12-10,5,Completed,Location_0P2BZ,WTM24CI5,Email,Level 1,4,Team_JM9
D7C2OAQ6,EZ9RJOXX,Customer_APX4R,HDJ3J@example.com,+1-4022048346,Complaint,Issue description for order S2Y3DGUU0R,Low,Open,Representative_EM2K7,Resolution for order S2Y3DGUU0R,2023-12-10,2023-12-10,2023-12-10,2,Completed,Location_332L5,2PH2SYAO,Chat,Level 3,10,Team_D9N
FGFLCVO9,XPHSD48E,Customer_9QXJX,ZTL74@example.com,+1-7415723243,Feedback,Issue description for order 4LPR1LHCWO,Low,In Progress,Representative_Y6LNZ,Resolution for order 4LPR1LHCWO,2023-12-20,2023-12-01,2023-12-10,2,Pending,Location_B1FNQ,IPN1NZW6,Chat,Level 2,8,Team_1WP
SN621ZLI,UPB9DTYF,Customer_6OFXZ,GN6DH@example.com,+1-7333219333,Refund,Issue description for order 79XJAAWXPN,Low,Open,Representative_LBTLR,Resolution for order 79XJAAWXPN,2023-12-15,2023-12-10,2023-12-30,3,Pending,Location_VLQ9M,I05WVH0J,Phone,Level 3,1,Team_72Z
3ONN4F11,4MGXVGXX,Customer_NC26M,IR8J9@example.com,+1-2127511536,Refund,Issue description for order NN9TTY8V9O,High,In Progress,Representative_O3SJE,Resolution for order NN9TTY8V9O,2023-12-10,2023-12-20,2023-12-25,3,Pending,Location_UW3PD,PT9EKHWB,Phone,Level 3,3,Team_BIJ
H5D7DGHE,KXR2WB6C,Customer_I0IVV,J0CIL@example.com,+1-1178827973,Feedback,Issue description for order IEQ8ZVJZ3Q,High,Closed,Representative_791MD,Resolution for order IEQ8ZVJZ3Q,2023-12-10,2023-12-20,2023-12-30,5,Pending,Location_TA7M9,7JY61EP5,Phone,Level 2,10,Team_MQD
0L8YAU7X,8THXUECL,Customer_QX65H,TUI5E@example.com,+1-7383049152,Complaint,Issue description for order OV7JGHTL0R,High,Closed,Representative_21K4N,Resolution for order OV7JGHTL0R,2023-12-15,2023-12-10,2023-12-10,5,Completed,Location_M4J4G,K2ENX2BQ,Phone,Level 3,8,Team_J7Y
90A2Z91H,JUKTXEDG,Customer_OL93T,1ALDK@example.com,+1-4435307092,Refund,Issue description for order KVFJHTL2G8,High,Open,Representative_7Q23Y,Resolution for order KVFJHTL2G8,2023-12-20,2023-12-10,2023-12-25,4,Completed,Location_3Y1RW,GNW7QOMG,Phone,Level 1,1,Team_76E
9Y3UJSBP,BXIW86RN,Customer_OYTGW,001PP@example.com,+1-8769211510,Inquiry,Issue description for order BFJE6V21W7,Medium,In Progress,Representative_XUQ8Y,Resolution for order BFJE6V21W7,2023-12-20,2023-12-01,2023-12-25,3,Completed,Location_MWJ5M,Y7VMJB59,Phone,Level 2,1,Team_JN3
DQT0A5IC,XS9T815P,Customer_XWR4X,V064F@example.com,+1-9978133283,Complaint,Issue description for order Q4SD7QWAZ7,Medium,In Progress,Representative_B7H8U,Resolution for order Q4SD7QWAZ7,2023-12-20,2023-12-20,2023-12-30,3,Completed,Location_T8VLP,WITPY411,Chat,Level 2,8,Team_J3Z
IAV92QEA,FO5DMENM,Customer_UROOY,Q7OCD@example.com,+1-4523151623,Refund,Issue description for order LCAH78IGVG,Low,Open,Representative_Y9YVT,Resolution for order LCAH78IGVG,2023-12-15,2023-12-20,2023-12-10,5,Pending,Location_RHGP7,1LA6KRQ2,Chat,Level 3,1,Team_715
KGUISFM0,QFN7EA5J,Customer_2BZM5,B7GEA@example.com,+1-7469737415,Inquiry,Issue description for order ELCU7SE2D7,Low,In Progress,Representative_SPX1F,Resolution for order ELCU7SE2D7,2023-12-15,2023-12-01,2023-12-10,3,Pending,Location_GUQ8S,97YLBQY3,Phone,Level 1,7,Team_2CO
9GUUT8GN,7WG3EHV7,Customer_7P1XJ,GA2MI@example.com,+1-4610377136,Refund,Issue description for order 0QSOMIK6QE,Low,Open,Representative_ME8OS,Resolution for order 0QSOMIK6QE,2023-12-20,2023-12-10,2023-12-30,2,Pending,Location_2DY12,NAIZUXJ9,Phone,Level 1,9,Team_JDC
V87K6MNN,JHW7HU3F,Customer_5KN4B,Y5NMC@example.com,+1-9464691828,Inquiry,Issue description for order JTE7M6T3NO,Medium,Closed,Representative_FUV7Q,Resolution for order JTE7M6T3NO,2023-12-20,2023-12-20,2023-12-10,2,Pending,Location_BRW9A,8PU19S56,Chat,Level 2,9,Team_PG7
S84BMM8A,65LS9ZCT,Customer_OKEHS,OA6GY@example.com,+1-1213507208,Refund,Issue description for order JPVNXPT25E,Medium,In Progress,Representative_S6O4J,Resolution for order JPVNXPT25E,2023-12-15,2023-12-10,2023-12-25,1,Pending,Location_JMJGW,8V2N4WZ2,Phone,Level 3,5,Team_IKY
WZNOZZF7,OWOTOTRO,Customer_GHNY0,P64FY@example.com,+1-7867682989,Feedback,Issue description for order VBA32JV2J4,Medium,In Progress,Representative_JWMSU,Resolution for order VBA32JV2J4,2023-12-20,2023-12-01,2023-12-10,5,Pending,Location_D02GI,X3WAIH9N,Chat,Level 2,7,Team_3W2
GW302BUV,3GOD68H5,Customer_8KBAV,0IQ8J@example.com,+1-1030062364,Refund,Issue description for order 6JVMI9RNVZ,Medium,In Progress,Representative_2OHA4,Resolution for order 6JVMI9RNVZ,2023-12-15,2023-12-01,2023-12-30,1,Pending,Location_53HD4,6QFEGNXZ,Email,Level 1,3,Team_T1R
298FLLCS,6J1UU6DQ,Customer_VG5S3,MZAXY@example.com,+1-1644767843,Complaint,Issue description for order PFQWQ1831A,Medium,In Progress,Representative_TZFQY,Resolution for order PFQWQ1831A,2023-12-10,2023-12-10,2023-12-25,5,Pending,Location_I1BLI,M1DXB715,Email,Level 3,3,Team_LRM
D3QUAJ18,1MF0H3P9,Customer_801FJ,UG4TI@example.com,+1-8631397284,Inquiry,Issue description for order O2DGUU761T,High,Closed,Representative_HINX5,Resolution for order O2DGUU761T,2023-12-15,2023-12-10,2023-12-30,4,Completed,Location_BZBB4,28HW7LYB,Email,Level 1,1,Team_67C
F2EIYX8V,RYD1TQIU,Customer_06Z3O,19XY3@example.com,+1-2551491677,Complaint,Issue description for order DZ63LNCMO3,High,In Progress,Representative_ROP62,Resolution for order DZ63LNCMO3,2023-12-15,2023-12-01,2023-12-10,2,Completed,Location_WDZSO,I32M8PY9,Email,Level 1,7,Team_KGA
0DJRTCM8,GRWUC5Z8,Customer_2L3GE,HCW9U@example.com,+1-9245034309,Inquiry,Issue description for order IWAYSX4OHM,Low,In Progress,Representative_SI7HJ,Resolution for order IWAYSX4OHM,2023-12-20,2023-12-01,2023-12-10,1,Completed,Location_4SMKP,8BWIRVD7,Chat,Level 2,1,Team_Q8U
TTNMPLQK,44P7KQ5I,Customer_Z3S56,VB09Z@example.com,+1-4750097282,Refund,Issue description for order RHP1IUZKY8,Low,Open,Representative_9BLCT,Resolution for order RHP1IUZKY8,2023-12-10,2023-12-20,2023-12-10,5,Completed,Location_U97I2,SVCBBEK2,Chat,Level 3,7,Team_GCP
ISQBOHAW,M7VO9TB3,Customer_FX4Z1,4T5JH@example.com,+1-1184639724,Inquiry,Issue description for order BKOCQI6QZJ,Medium,Closed,Representative_089IC,Resolution for order BKOCQI6QZJ,2023-12-20,2023-12-20,2023-12-30,1,Pending,Location_Y297C,KFCBIKWO,Email,Level 3,4,Team_W6F
GC7S48YG,UQXYGWR1,Customer_7H7VX,RX3QY@example.com,+1-3762538443,Complaint,Issue description for order V1QDYS08I8,Low,In Progress,Representative_8ZYY3,Resolution for order V1QDYS08I8,2023-12-20,2023-12-01,2023-12-10,2,Pending,Location_9Z13O,E59Q1U9R,Chat,Level 1,7,Team_2YM
XMTATKAO,33GT5JE1,Customer_YT6DF,UATER@example.com,+1-4100572849,Refund,Issue description for order 5HD4480XCZ,Low,Closed,Representative_VQAR1,Resolution for order 5HD4480XCZ,2023-12-15,2023-12-10,2023-12-25,3,Pending,Location_WKJJ4,8BNM0DNZ,Email,Level 1,3,Team_3I4
IW859BA6,93C2BPIC,Customer_XJ638,7VWSA@example.com,+1-5005971394,Inquiry,Issue description for order BXGAQVJ7XW,High,In Progress,Representative_ZPXCY,Resolution for order BXGAQVJ7XW,2023-12-20,2023-12-20,2023-12-10,1,Completed,Location_XL77V,34I8EUJ1,Email,Level 2,3,Team_1YZ
TPUXA20N,QCTJNB72,Customer_D3MGZ,ZVVXJ@example.com,+1-9948823374,Feedback,Issue description for order 5H1I8CJVLB,Low,Open,Representative_60O2L,Resolution for order 5H1I8CJVLB,2023-12-10,2023-12-01,2023-12-10,1,Pending,Location_48QQ9,WW1JSHGM,Phone,Level 1,4,Team_N11
YD6OW19D,FSQ9N0RK,Customer_QBKGP,UUUNS@example.com,+1-4787563109,Complaint,Issue description for order TKL754QB8N,Medium,In Progress,Representative_L0AQR,Resolution for order TKL754QB8N,2023-12-15,2023-12-01,2023-12-25,2,Pending,Location_WU06V,18FQR4S5,Phone,Level 2,3,Team_PPT
Q7O5ZOC8,NYA913U9,Customer_WGOMF,L4OGG@example.com,+1-9995829310,Refund,Issue description for order 0ALYCEFY6P,Medium,In Progress,Representative_QCAR4,Resolution for order 0ALYCEFY6P,2023-12-20,2023-12-20,2023-12-25,5,Pending,Location_PKSGL,ZOX7ZCTK,Chat,Level 1,2,Team_GRV
7QN8H9QC,QKQ1IG1T,Customer_MI6QH,LRM99@example.com,+1-4045551931,Feedback,Issue description for order 6BTRBJPKIV,High,In Progress,Representative_S3FAO,Resolution for order 6BTRBJPKIV,2023-12-15,2023-12-10,2023-12-25,5,Completed,Location_BWEL9,UAGE6QM9,Chat,Level 2,5,Team_6Q1
9N0TEEL7,QXQNOV12,Customer_30GMJ,IITV2@example.com,+1-4520529842,Complaint,Issue description for order ZQLX1UBEE9,Low,Closed,Representative_3ICDU,Resolution for order ZQLX1UBEE9,2023-12-10,2023-12-20,2023-12-10,5,Completed,Location_MHSE4,LNQYPBTT,Email,Level 3,2,Team_42K
2INOMLAR,3KDDFXTT,Customer_VZRN7,GIX51@example.com,+1-6535746616,Inquiry,Issue description for order UJB9KQCKJD,Low,In Progress,Representative_T6ZFA,Resolution for order UJB9KQCKJD,2023-12-20,2023-12-01,2023-12-30,4,Pending,Location_J8G16,UUC8OANL,Email,Level 3,4,Team_XDK
Q28V5VPD,7VOYTW5X,Customer_1JM5Q,G24BF@example.com,+1-7636219510,Inquiry,Issue description for order 7L2XOLC0AP,Low,Open,Representative_M9NSE,Resolution for order 7L2XOLC0AP,2023-12-10,2023-12-01,2023-12-10,3,Completed,Location_Q40S2,OXK11ZWO,Phone,Level 1,6,Team_Z6E
4UWLPZ1K,UC3LLA8L,Customer_FCGOX,072MW@example.com,+1-3796391056,Inquiry,Issue description for order AC4ZZPZIX0,Medium,Closed,Representative_RKK65,Resolution for order AC4ZZPZIX0,2023-12-15,2023-12-01,2023-12-25,4,Completed,Location_J2U1R,YKDMYI50,Chat,Level 1,7,Team_PMQ
IA7R7H4A,6UZHICRP,Customer_S0PEJ,96NJB@example.com,+1-1019644148,Inquiry,Issue description for order A1RBPHLW0L,Medium,Open,Representative_C8EAG,Resolution for order A1RBPHLW0L,2023-12-10,2023-12-10,2023-12-25,5,Completed,Location_NC5F3,N881GCDN,Phone,Level 3,1,Team_OKM
8NCD644G,9ZC6LIUF,Customer_6CJF0,CXVG4@example.com,+1-2971583496,Complaint,Issue description for order NJ3FCNCEVE,High,In Progress,Representative_ORO5P,Resolution for order NJ3FCNCEVE,2023-12-15,2023-12-10,2023-12-25,1,Pending,Location_9P376,VIQLRBOY,Chat,Level 2,2,Team_4SM
5JW63R27,OOLYIWIC,Customer_IOSG5,XUDA5@example.com,+1-5083043685,Refund,Issue description for order IINI42FPLJ,High,Open,Representative_KQ7MN,Resolution for order IINI42FPLJ,2023-12-20,2023-12-10,2023-12-10,4,Pending,Location_5G3JQ,P0QIWAFN,Chat,Level 1,7,Team_G68
HZEFFLOY,MBQE1V8Q,Customer_L0W4P,6L56N@example.com,+1-3800204267,Feedback,Issue description for order 56MSGOLGRS,Low,Open,Representative_7HSKU,Resolution for order 56MSGOLGRS,2023-12-20,2023-12-10,2023-12-10,5,Pending,Location_9M13H,MNJCE9A0,Phone,Level 3,8,Team_BEA
KUNP3T2H,H89ADU7J,Customer_JGF3E,8AF8K@example.com,+1-9063933785,Refund,Issue description for order QGY6CP7RCP,Medium,In Progress,Representative_H3O7H,Resolution for order QGY6CP7RCP,2023-12-10,2023-12-01,2023-12-30,1,Pending,Location_R8AYC,1E0Y4IYZ,Chat,Level 3,6,Team_A97
9Y0E5TV9,VKOO0N1G,Customer_ZWUK2,USEWQ@example.com,+1-8774104159,Refund,Issue description for order O5RW5M1WAQ,High,Closed,Representative_8T97V,Resolution for order O5RW5M1WAQ,2023-12-10,2023-12-01,2023-12-30,1,Pending,Location_MOSFX,SSJMYVAO,Email,Level 2,6,Team_REV
FXKGME62,SUCJKF8E,Customer_J6LW1,SK7UN@example.com,+1-7613945024,Inquiry,Issue description for order 8LDLTYLRIZ,Low,In Progress,Representative_QESO8,Resolution for order 8LDLTYLRIZ,2023-12-10,2023-12-20,2023-12-25,4,Completed,Location_R9EUB,MGFIF9R7,Chat,Level 2,10,Team_YFC
3KTMNGFZ,8PMU013S,Customer_SXA2R,W18L1@example.com,+1-4356232853,Complaint,Issue description for order VM1G4SCQVR,Low,Open,Representative_ANN56,Resolution for order VM1G4SCQVR,2023-12-15,2023-12-10,2023-12-25,1,Completed,Location_DX2B8,V915CGV2,Phone,Level 1,8,Team_IGB
HRADKBQX,6M80SP2B,Customer_RD3CB,BFJTM@example.com,+1-8997295947,Inquiry,Issue description for order V1Z5T2JYS2,Low,Open,Representative_LYCWH,Resolution for order V1Z5T2JYS2,2023-12-20,2023-12-10,2023-12-30,4,Completed,Location_4FCRO,O0F4EGSY,Email,Level 1,4,Team_VLV
QBPAB9AP,LWEMPD0V,Customer_OCEJE,XK9Q6@example.com,+1-6505878943,Inquiry,Issue description for order 2BSUP6CTUV,High,In Progress,Representative_FRW52,Resolution for order 2BSUP6CTUV,2023-12-15,2023-12-10,2023-12-30,4,Completed,Location_VBCRO,VJ8HI1V8,Chat,Level 3,6,Team_5XI
18JUQKUJ,DSFXRJWY,Customer_VKCW1,HBWE6@example.com,+1-8167565759,Refund,Issue description for order WN90EOYBD6,High,Closed,Representative_MVHDF,Resolution for order WN90EOYBD6,2023-12-10,2023-12-10,2023-12-30,4,Pending,Location_4U9IS,WUP0T4R2,Phone,Level 2,9,Team_843
WB38WV5B,SPLVQ245,Customer_QCN1R,P8GBD@example.com,+1-6291180540,Feedback,Issue description for order FNBMNPDH8V,Medium,Open,Representative_5KCYS,Resolution for order FNBMNPDH8V,2023-12-15,2023-12-01,2023-12-10,1,Completed,Location_TXDPC,KVBXFYSH,Phone,Level 1,1,Team_AOQ
03M3ROB0,29VCENC4,Customer_N0KF7,9UEPV@example.com,+1-8880305073,Complaint,Issue description for order W5WQWNBP8C,Low,Closed,Representative_Y4DD3,Resolution for order W5WQWNBP8C,2023-12-10,2023-12-20,2023-12-10,3,Completed,Location_1MRUT,88CC627M,Chat,Level 2,4,Team_8VL
JC0R0QHI,769334FC,Customer_A9TOW,XJOVZ@example.com,+1-1215383283,Feedback,Issue description for order E5A0UXX5YY,Low,Closed,Representative_TIS08,Resolution for order E5A0UXX5YY,2023-12-10,2023-12-01,2023-12-10,5,Pending,Location_8SKSV,GFHRVYLU,Email,Level 3,6,Team_EBR
YYN9WNBF,QR0SMWQ2,Customer_YAZUZ,8UQ40@example.com,+1-6174640455,Inquiry,Issue description for order RRCKFXX8ML,Medium,Open,Representative_0BR1B,Resolution for order RRCKFXX8ML,2023-12-10,2023-12-01,2023-12-25,2,Pending,Location_42DZH,8FFP6EAA,Phone,Level 3,9,Team_1TF
RYBV4S3V,52DWR1CK,Customer_PFQYV,MH2GH@example.com,+1-3387551434,Refund,Issue description for order XY0O5N99AG,High,In Progress,Representative_U4G9J,Resolution for order XY0O5N99AG,2023-12-20,2023-12-01,2023-12-10,4,Pending,Location_I05KE,0EXA18JP,Chat,Level 2,9,Team_B52
S3UG49TX,QFOBPDM8,Customer_4XBKR,X4Q1X@example.com,+1-4584004653,Refund,Issue description for order QPC7CKSWDV,Medium,Open,Representative_11WCK,Resolution for order QPC7CKSWDV,2023-12-20,2023-12-01,2023-12-25,1,Pending,Location_24OC4,V5ESP6R2,Email,Level 2,8,Team_N9G
C5OV3SWB,JOHSEPYO,Customer_1UH9E,4ITMQ@example.com,+1-6001907238,Refund,Issue description for order 5ZLXERHO2L,Low,Closed,Representative_XCZ7U,Resolution for order 5ZLXERHO2L,2023-12-10,2023-12-20,2023-12-10,5,Completed,Location_AOQM8,JXGL5WAS,Phone,Level 2,8,Team_34L
BHSAM5XR,6UENSUYV,Customer_MO2P4,P5LCR@example.com,+1-4260795769,Inquiry,Issue description for order 8WFE1TO2EJ,Medium,Closed,Representative_LFAFL,Resolution for order 8WFE1TO2EJ,2023-12-20,2023-12-20,2023-12-30,3,Pending,Location_XLJ9E,6K5UTSIK,Chat,Level 2,6,Team_EFP
X5Y1E9YL,LZTX1BV7,Customer_S5V7B,WK0MW@example.com,+1-9620666741,Complaint,Issue description for order GG7ZCERA1P,Low,Closed,Representative_QYD8I,Resolution for order GG7ZCERA1P,2023-12-20,2023-12-01,2023-12-25,1,Pending,Location_IFYC4,58TK1P5L,Phone,Level 3,2,Team_JKC
1LI46AIG,YM99MCY1,Customer_06LJB,9V91T@example.com,+1-9641077586,Inquiry,Issue description for order CIY2ORVAZG,High,Open,Representative_R17KW,Resolution for order CIY2ORVAZG,2023-12-15,2023-12-10,2023-12-25,3,Completed,Location_7F9U4,TXWHN3ZA,Chat,Level 2,8,Team_8OS
Q22UKHHF,D6KV6K8K,Customer_LZJEL,QSM47@example.com,+1-2635738581,Complaint,Issue description for order C8AIATU45E,High,In Progress,Representative_NALJX,Resolution for order C8AIATU45E,2023-12-15,2023-12-20,2023-12-30,4,Completed,Location_I4DBN,WI4ZET2W,Phone,Level 2,5,Team_1KF
0Y243GN2,OMJ4PVVP,Customer_A91HT,F15RP@example.com,+1-2017527255,Refund,Issue description for order 7SFIGZ8TIY,High,Open,Representative_9I23L,Resolution for order 7SFIGZ8TIY,2023-12-20,2023-12-01,2023-12-30,2,Completed,Location_68SBK,H55RPATH,Chat,Level 1,6,Team_AFM
MOMF0EIR,S84IPZ01,Customer_QF6E2,KBFZZ@example.com,+1-5554736211,Complaint,Issue description for order OXYS9TTQ8W,Medium,Closed,Representative_T0SL8,Resolution for order OXYS9TTQ8W,2023-12-10,2023-12-01,2023-12-10,4,Pending,Location_KFDRH,7694JT0K,Chat,Level 3,7,Team_AXW
TB9WXFRW,EO24S438,Customer_B2R2B,YY098@example.com,+1-1549006540,Feedback,Issue description for order FT50X3T29I,Low,In Progress,Representative_3TXE6,Resolution for order FT50X3T29I,2023-12-15,2023-12-01,2023-12-25,5,Completed,Location_VRGP3,0DB2LJ1S,Phone,Level 3,7,Team_BKU
NDDUAB6I,RKXVUUIF,Customer_YQGC0,FHET8@example.com,+1-4386102619,Refund,Issue description for order CHXZS4SSPA,High,Open,Representative_40WSI,Resolution for order CHXZS4SSPA,2023-12-10,2023-12-20,2023-12-25,5,Pending,Location_DIV83,RVVQL1YD,Chat,Level 1,2,Team_GCM
O8FPSKCV,UZT3TF7V,Customer_HF2D0,ARTCO@example.com,+1-1490520500,Complaint,Issue description for order 2YV47NN0LT,Medium,Closed,Representative_2YFNP,Resolution for order 2YV47NN0LT,2023-12-20,2023-12-10,2023-12-30,1,Pending,Location_UT4BA,Y6TAUF7O,Chat,Level 3,6,Team_51G
0JRRRS41,CIFHP2ET,Customer_UNWYZ,4N6ZA@example.com,+1-4742084935,Refund,Issue description for order 6K1AONKD59,Medium,Open,Representative_VSKVY,Resolution for order 6K1AONKD59,2023-12-10,2023-12-10,2023-12-25,4,Completed,Location_66GPQ,75TESH0A,Phone,Level 1,9,Team_A4E
B7BMN2N5,50L1H5I8,Customer_JVHWK,PMPYV@example.com,+1-8768312988,Inquiry,Issue description for order UUC9K4MX1X,High,Open,Representative_OF2UT,Resolution for order UUC9K4MX1X,2023-12-20,2023-12-20,2023-12-10,4,Completed,Location_PB88Y,IBTOVSRM,Phone,Level 3,5,Team_PRM
652RLSVW,ZWTKTF3Q,Customer_TKIM1,R5J7Z@example.com,+1-9113581358,Complaint,Issue description for order 8YZJQPWYMU,Low,Open,Representative_JNYPN,Resolution for order 8YZJQPWYMU,2023-12-15,2023-12-10,2023-12-30,5,Completed,Location_5BL2N,WAK88724,Chat,Level 2,10,Team_F74
0FOTXU3O,LTFNP827,Customer_YPXPQ,HMGWX@example.com,+1-7440535328,Complaint,Issue description for order 8ZDYNYN4XS,High,Closed,Representative_9Z4UP,Resolution for order 8ZDYNYN4XS,2023-12-20,2023-12-10,2023-12-10,2,Pending,Location_EB6H3,P1CRNDN9,Phone,Level 3,10,Team_123
75DGDY2C,DGURSV5Y,Customer_WZ5ZM,KLV3R@example.com,+1-1846314805,Feedback,Issue description for order 4SH5YBX503,Medium,Closed,Representative_Y8EWA,Resolution for order 4SH5YBX503,2023-12-15,2023-12-10,2023-12-25,4,Pending,Location_VFQ7N,OONLAGWV,Chat,Level 2,10,Team_0G2
JJB1W7X3,D0GC05MF,Customer_RQKMU,EJHE6@example.com,+1-4995618164,Inquiry,Issue description for order ZDTTPGP0T5,Medium,Open,Representative_E14UH,Resolution for order ZDTTPGP0T5,2023-12-15,2023-12-01,2023-12-25,5,Completed,Location_U59BR,0R6QHB97,Phone,Level 3,8,Team_E4D
O43DT34L,XRFECPIC,Customer_P4ADL,HF85U@example.com,+1-3823873474,Refund,Issue description for order 5ZF016LT7F,Medium,Closed,Representative_5XW8Y,Resolution for order 5ZF016LT7F,2023-12-20,2023-12-20,2023-12-25,4,Completed,Location_SHASV,S7BUNRG8,Email,Level 1,5,Team_XPM
BJ3JATH8,KC1KKWM2,Customer_M3TLF,SZ4JP@example.com,+1-3325336090,Refund,Issue description for order WVFZ1STN0A,High,In Progress,Representative_26ZBU,Resolution for order WVFZ1STN0A,2023-12-15,2023-12-20,2023-12-30,4,Pending,Location_ALUAE,NIFCSBAJ,Chat,Level 2,7,Team_OWI
9RJQJX45,0VREJ3XI,Customer_P88J1,1TGCC@example.com,+1-2104805634,Complaint,Issue description for order 1XG4K7VNWB,Low,Closed,Representative_N5I2V,Resolution for order 1XG4K7VNWB,2023-12-10,2023-12-10,2023-12-10,1,Pending,Location_MC2ME,6O48HM7D,Phone,Level 2,2,Team_PZC
I5D2N9W6,JFH5IA4K,Customer_5C4H7,KAS03@example.com,+1-4181301748,Inquiry,Issue description for order W1QAC60KXU,High,Open,Representative_9PP4Y,Resolution for order W1QAC60KXU,2023-12-10,2023-12-10,2023-12-10,2,Completed,Location_Q9YJO,NMNM794C,Chat,Level 3,1,Team_Q5Y
D9JWLGC0,QG9C20X5,Customer_KWIRW,L0Z9F@example.com,+1-7488689363,Feedback,Issue description for order GO95R1NQL6,Medium,Open,Representative_OZG3K,Resolution for order GO95R1NQL6,2023-12-20,2023-12-10,2023-12-10,4,Completed,Location_NJH5C,AN87JIB5,Phone,Level 3,2,Team_U85
5SAMV2OB,T7LK6V2T,Customer_C90B0,BYNB3@example.com,+1-8815610803,Feedback,Issue description for order VICWT4GTW1,Medium,Open,Representative_6TKD9,Resolution for order VICWT4GTW1,2023-12-15,2023-12-10,2023-12-10,1,Completed,Location_LP6T5,6WYP40TD,Email,Level 2,9,Team_JI6
GAL8IAQL,9D2GJZL9,Customer_2GAHJ,C45V7@example.com,+1-8857380296,Feedback,Issue description for order ST0JUDS71W,Low,In Progress,Representative_SMFIY,Resolution for order ST0JUDS71W,2023-12-10,2023-12-20,2023-12-30,5,Completed,Location_EWWPZ,QHL7WUZ1,Chat,Level 3,2,Team_M70
XPCIITT4,YN7Q7NHW,Customer_TC313,43SYK@example.com,+1-7612943583,Inquiry,Issue description for order 260JCLQ1T3,Medium,Closed,Representative_88HJM,Resolution for order 260JCLQ1T3,2023-12-20,2023-12-10,2023-12-30,4,Completed,Location_N7UFU,FIJ1F8M1,Email,Level 2,4,Team_49D
QJP7PZW8,JRSO8OM4,Customer_3YVT7,TKOL6@example.com,+1-3450494297,Complaint,Issue description for order W59L385NNN,High,Open,Representative_TXTYM,Resolution for order W59L385NNN,2023-12-15,2023-12-10,2023-12-10,1,Completed,Location_LHWVH,T10N5HMH,Chat,Level 2,10,Team_VBW
8IDXJRQU,40U6JHAX,Customer_0SWRN,O1PFR@example.com,+1-5873399074,Feedback,Issue description for order JWPYODRZ3S,Low,Open,Representative_JYWJX,Resolution for order JWPYODRZ3S,2023-12-15,2023-12-10,2023-12-30,3,Pending,Location_OA07H,PECG90C8,Email,Level 2,3,Team_MYW
QSOVN6IJ,GSQQGU14,Customer_DWYIW,497YY@example.com,+1-4044453086,Refund,Issue description for order ZXEL74JP0Q,Medium,In Progress,Representative_M6ZF8,Resolution for order ZXEL74JP0Q,2023-12-10,2023-12-10,2023-12-10,1,Pending,Location_F4DOV,I0GVFP2E,Phone,Level 1,2,Team_R8M
